AMC,Scheme Name,Source Links from Groww,Source Links from AMC
Nippon India Mutual Fund,Nippon India Large Cap Fund Direct Growth,https://groww.in/mutual-funds/nippon-india-large-cap-fund-direct-growth,https://mf.nipponindiaim.com/InvestorServices/FactsheetsDocuments/Fundamentals-November-2025/Innerpage/Large-Cap.html
Nippon India Mutual Fund,Nippon India Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/nippon-india-flexi-cap-fund-direct-growth,https://mf.nipponindiaim.com/InvestorServices/FactsheetsDocuments/Fundamentals-November-2025/Innerpage/Flexi-Cap.html
Nippon India Mutual Fund,Nippon India ELSS Tax Saver Fund Direct Growth,https://groww.in/mutual-funds/nippon-india-elss-tax-saver-fund-direct-growth,https://mf.nipponindiaim.com/InvestorServices/FactsheetsDocuments/Fundamentals-November-2025/Innerpage/Tax-Saver-ELSS.html
Nippon India Mutual Fund,Nippon India Balanced Advantage Fund Direct Growth,https://groww.in/mutual-funds/nippon-india-balanced-advantage-fund-direct-growth,https://mf.nipponindiaim.com/InvestorServices/FactsheetsDocuments/Fundamentals-November-2025/Innerpage/Balanced-Advantage.html
Nippon India Mutual Fund,Nippon India Liquid Fund Direct Growth,https://groww.in/mutual-funds/nippon-india-liquid-fund-direct-growth,https://mf.nipponindiaim.com/InvestorServices/FactsheetsDocuments/Fundamentals-November-2025/Innerpage/Liquid.html
Groww Support,Groww Support,https://groww.in/help/stocks/sx-reports,https://groww.in/help/stocks/sx-reports
CAMS support,CAMS support,https://www.camsonline.com/Investors/Statements/Capital-Gain&Capital-Loss-statement,https://www.camsonline.com/Investors/Statements/Capital-Gain&Capital-Loss-statement
